membraneMarker,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,memERGIC,memERGICRabA,memERGICRabB,memERGICRabC,memERGICRabD,memERGICRabE,memGolgiMedial,memGolgiMedialRabA,memGolgiMedialRabB,memGolgiMedialRabC,memGolgiMedialRabD,memGolgiMedialRabE,memL,memLRabA,memLRabB,memLRabC,memLRabD,memLRabE,memLS,memLSRabA,memLSRabB,memLSRabC,memLSRabD,memLSRabE,memS,memSRabA,memSRabB,memSRabC,memSRabD,memSRabE,memTGN,memTGNRabA,memTGNRabB,memTGNRabC,memTGNRabD,memTGNRabE,memTub,memTubRabA,memTubRabB,memTubRabC,memTubRabD,memTubRabE,proton,protonRabA,protonRabB,protonRabC,protonRabD,protonRabE,solL,solLRabA,solLRabB,solLRabC,solLRabD,solLRabE,solS,solSRabA,solSRabB,solSRabC,solSRabD,solSRabE,solubleMarker,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
0.0,0.97567,0.02433,0.0,0.0,0.0,0.0,0.97587,0.02413,0.0,0.0,0.0,0.0,0.95322,0.03928,0.00744,6.0E-5,0.0,0.0,0.97567,0.02433,0.0,0.0,0.0,0.0,0.97567,0.02433,0.0,0.0,0.0,0.0,0.95322,0.03933,0.00733,1.2E-4,0.0,0.0,0.95322,0.03933,0.00733,1.2E-4,0.0,0.0,0.28168,0.39353,0.1798,0.14499,0.0,0.0,0.9552,0.03801,0.0067,1.0E-4,0.0,0.0,0.97567,0.02433,0.0,0.0,0.0,0.0,0.9552,0.03801,0.0067,1.0E-4,0.0,0.0,0.97567,0.02433,0.0,0.0,0.0,
0.0,0.99195,0.00805,0.0,0.0,0.0,0.0,0.98398,0.01602,0.0,0.0,0.0,0.0,0.95384,0.02461,0.02105,5.0E-4,0.0,0.0,0.99195,0.00805,0.0,0.0,0.0,0.0,0.99195,0.00805,0.0,0.0,0.0,0.0,0.95384,0.0246,0.02085,6.6E-4,6.0E-5,0.0,0.95384,0.0246,0.02085,6.6E-4,6.0E-5,0.0342,0.08423,0.21169,0.3535,0.30205,0.01434,0.0,0.95722,0.02312,0.01903,5.9E-4,5.0E-5,0.0,0.99195,0.00805,0.0,0.0,0.0,0.0,0.95722,0.02312,0.01903,5.9E-4,5.0E-5,0.0,0.99195,0.00805,0.0,0.0,0.0,
0.0,0.9835,0.0165,0.0,0.0,0.0,0.0,0.96795,0.03205,0.0,0.0,0.0,0.0,0.93843,0.03923,0.02159,7.5E-4,0.0,0.0,0.9835,0.0165,0.0,0.0,0.0,0.0,0.9835,0.0165,0.0,0.0,0.0,0.0,0.93843,0.0397,0.02083,9.7E-4,6.0E-5,0.0,0.93843,0.0397,0.02083,9.7E-4,6.0E-5,0.04204,0.05215,0.32523,0.13527,0.12113,0.32417,0.0,0.94244,0.03757,0.01907,8.5E-4,5.0E-5,0.0,0.9835,0.0165,0.0,0.0,0.0,0.0,0.94244,0.03757,0.01907,8.5E-4,5.0E-5,0.0,0.9835,0.0165,0.0,0.0,0.0,
0.0,0.93044,0.06956,0.0,0.0,0.0,0.0,0.91549,0.08451,0.0,0.0,0.0,0.0,0.88099,0.09599,0.02271,3.1E-4,0.0,0.0,0.93044,0.06956,0.0,0.0,0.0,0.0,0.93044,0.06956,0.0,0.0,0.0,0.0,0.881,0.09664,0.02163,6.5E-4,6.0E-5,0.0,0.881,0.09664,0.02163,6.5E-4,6.0E-5,0.22284,0.16215,0.22352,0.1719,0.1495,0.07008,0.0,0.88536,0.09419,0.01983,5.6E-4,5.0E-5,0.0,0.93044,0.06956,0.0,0.0,0.0,0.0,0.88536,0.09419,0.01983,5.6E-4,5.0E-5,0.0,0.93044,0.06956,0.0,0.0,0.0,
0.0,0.96808,0.03192,0.0,0.0,0.0,0.0,0.95276,0.04685,3.9E-4,0.0,0.0,0.0,0.90305,0.06418,0.03153,0.0012,5.0E-5,0.0,0.96808,0.03192,0.0,0.0,0.0,0.0,0.96808,0.03192,0.0,0.0,0.0,1.0E-5,0.90312,0.0731,0.0224,0.00126,1.1E-4,1.0E-5,0.90312,0.0731,0.0224,0.00126,1.1E-4,0.40243,0.0664,0.23967,0.09282,0.18524,0.01345,1.0E-5,0.90888,0.06941,0.02055,0.00106,9.0E-5,0.0,0.96808,0.03192,0.0,0.0,0.0,1.0E-5,0.90888,0.06941,0.02055,0.00106,9.0E-5,0.0,0.96808,0.03192,0.0,0.0,0.0,
0.0,0.95373,0.04627,0.0,0.0,0.0,0.0,0.9384,0.06146,1.4E-4,0.0,0.0,0.0,0.88226,0.06787,0.0486,0.00124,3.0E-5,0.0,0.95373,0.04627,0.0,0.0,0.0,0.0,0.95373,0.04627,0.0,0.0,0.0,2.0E-5,0.88248,0.09408,0.02204,0.00129,9.0E-5,2.0E-5,0.88248,0.09408,0.02204,0.00129,9.0E-5,0.45437,0.04844,0.21245,0.13066,0.15082,0.00325,2.0E-5,0.88883,0.08981,0.02018,0.00109,8.0E-5,0.0,0.95373,0.04627,0.0,0.0,0.0,2.0E-5,0.88883,0.08981,0.02018,0.00109,8.0E-5,0.0,0.95373,0.04627,0.0,0.0,0.0,
0.0,0.93048,0.06952,0.0,0.0,0.0,0.0,0.90104,0.09138,0.00708,4.4E-4,6.0E-5,0.0,0.83014,0.09794,0.06631,0.00505,5.6E-4,0.0,0.93048,0.06952,0.0,0.0,0.0,0.0,0.93048,0.06952,0.0,0.0,0.0,2.0E-5,0.83041,0.11999,0.04514,0.00397,4.6E-4,2.0E-5,0.83041,0.11999,0.04514,0.00397,4.6E-4,0.47359,0.00794,0.04737,0.34118,0.09918,0.03073,2.0E-5,0.83913,0.11575,0.04115,0.00354,4.1E-4,0.0,0.93048,0.06952,0.0,0.0,0.0,2.0E-5,0.83913,0.11575,0.04115,0.00354,4.1E-4,0.0,0.93048,0.06952,0.0,0.0,0.0,
0.0,0.92237,0.06987,0.00776,0.0,0.0,0.0,0.89299,0.09201,0.01451,3.8E-4,1.1E-4,0.0,0.81634,0.09956,0.07838,0.00456,0.00115,0.0,0.92237,0.06987,0.00776,0.0,0.0,0.0,0.92237,0.06987,0.00776,0.0,0.0,3.0E-5,0.81021,0.12066,0.06381,0.00431,9.8E-4,3.0E-5,0.81021,0.12066,0.06381,0.00431,9.8E-4,0.49743,0.00379,0.02954,0.38875,0.06178,0.01871,3.0E-5,0.81992,0.11648,0.05884,0.00384,8.9E-4,0.0,0.92237,0.06987,0.00776,0.0,0.0,3.0E-5,0.81992,0.11648,0.05884,0.00384,8.9E-4,0.0,0.92237,0.06987,0.00776,0.0,0.0,
0.0,0.8833,0.10892,0.00778,0.0,0.0,0.0,0.859,0.12615,0.01444,3.5E-4,6.0E-5,0.0,0.78183,0.13317,0.0802,0.00416,6.4E-4,0.0,0.8833,0.10892,0.00778,0.0,0.0,0.0,0.8833,0.10892,0.00778,0.0,0.0,7.0E-5,0.77351,0.1573,0.06422,0.00426,6.4E-4,7.0E-5,0.77351,0.1573,0.06422,0.00426,6.4E-4,0.5766,0.00332,0.11195,0.24371,0.04602,0.0184,5.0E-5,0.78298,0.15335,0.05927,0.00378,5.7E-4,0.0,0.8833,0.10892,0.00778,0.0,0.0,5.0E-5,0.78298,0.15335,0.05927,0.00378,5.7E-4,0.0,0.8833,0.10892,0.00778,0.0,0.0,
0.0,0.87665,0.10884,0.00726,0.00726,0.0,0.0,0.84877,0.12946,0.01445,0.00727,6.0E-5,0.0,0.77599,0.13142,0.08247,0.00948,6.4E-4,0.0,0.87665,0.10884,0.00726,0.00726,0.0,0.0,0.87665,0.10884,0.00726,0.00726,0.0,1.1E-4,0.76471,0.15916,0.06524,0.01012,6.5E-4,1.1E-4,0.76471,0.15916,0.06524,0.01012,6.5E-4,0.60106,0.00228,0.1154,0.22899,0.01972,0.03254,8.0E-5,0.77435,0.15503,0.06022,0.00974,5.8E-4,0.0,0.87665,0.10884,0.00726,0.00726,0.0,8.0E-5,0.77435,0.15503,0.06022,0.00974,5.8E-4,0.0,0.87665,0.10884,0.00726,0.00726,0.0,
0.0,0.91123,0.07398,0.0074,0.0074,0.0,0.0,0.88219,0.09528,0.01518,0.00729,6.0E-5,0.0,0.80653,0.09908,0.08217,0.01136,8.7E-4,0.0,0.91123,0.07398,0.0074,0.0074,0.0,0.0,0.91123,0.07398,0.0074,0.0074,0.0,1.1E-4,0.77796,0.13754,0.06651,0.01667,0.00121,1.1E-4,0.77796,0.13754,0.06651,0.01667,0.00121,0.61776,0.00169,0.11858,0.02226,0.22398,0.01572,9.0E-5,0.78938,0.13226,0.06157,0.01562,0.00108,0.0,0.91123,0.07398,0.0074,0.0074,0.0,9.0E-5,0.78938,0.13226,0.06157,0.01562,0.00108,0.0,0.91123,0.07398,0.0074,0.0074,0.0,
0.0,0.93086,0.05377,0.00768,0.00768,0.0,0.0,0.90176,0.07573,0.01495,0.0075,6.0E-5,0.0,0.82387,0.07242,0.09157,0.01129,8.5E-4,0.0,0.93086,0.05377,0.00768,0.00768,0.0,0.0,0.93086,0.05377,0.00768,0.00768,0.0,2.7E-4,0.78342,0.12634,0.07204,0.01678,0.00117,2.7E-4,0.78342,0.12634,0.07204,0.01678,0.00117,0.70126,0.00182,0.04713,0.16763,0.04149,0.04066,2.1E-4,0.79604,0.1204,0.06654,0.01576,0.00104,0.0,0.93086,0.05377,0.00768,0.00768,0.0,2.1E-4,0.79604,0.1204,0.06654,0.01576,0.00104,0.0,0.93086,0.05377,0.00768,0.00768,0.0,
0.0,0.9241,0.06072,0.00759,0.00759,0.0,0.0,0.8874,0.09014,0.01504,0.00735,6.0E-5,0.0,0.81787,0.06798,0.10324,0.01008,8.3E-4,0.0,0.9241,0.06072,0.00759,0.00759,0.0,0.0,0.9241,0.06072,0.00759,0.00759,0.0,3.4E-4,0.77151,0.13688,0.07341,0.01699,8.7E-4,3.4E-4,0.77151,0.13688,0.07341,0.01699,8.7E-4,0.73275,6.8E-4,0.0485,0.10544,0.09941,0.01322,2.7E-4,0.78457,0.13072,0.06775,0.01591,7.8E-4,0.0,0.9241,0.06072,0.00759,0.00759,0.0,2.7E-4,0.78457,0.13072,0.06775,0.01591,7.8E-4,0.0,0.9241,0.06072,0.00759,0.00759,0.0,
