RabA,RabB,RabC,RabD,RabE,area,memERGIC,memGolgiMedial,memL,memLS,memS,memTGN,memTub,membraneMarker,proton,solL,solS,solubleMarker,volume,
1969778.59,0.0,0.0,0.0,0.0,1969778.59,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.900663555E7,
1846628.16,0.0,0.0,0.0,0.0,1846628.16,7838.04,7838.04,8033.0,8033.0,7838.04,7838.04,1667.92,1.0,978.06,196257.0,191951.8,1.0,1.792906927E7,
1852125.95,46181.41,0.0,0.0,0.0,1898307.36,7967.33,7784.49,8033.0,8033.0,7784.49,7784.49,1102.86,1.0,971.78,196257.0,190719.31,1.0,1.828836742E7,
1897207.8,15393.8,0.0,0.0,0.0,1912601.61,7903.2,7661.17,8033.0,8033.0,7661.17,7661.17,400.16,1.0,957.83,196257.0,187981.18,1.0,1.84945587E7,
1835632.59,30787.61,0.0,0.0,0.0,1866420.2,7772.32,7536.85,8033.0,8033.0,7536.85,7536.85,140.55,1.0,943.78,196257.0,185222.96,1.0,1.809047135E7,
1853225.51,138544.24,0.0,0.0,0.0,1991769.74,7902.68,7604.4,8033.0,8033.0,7604.44,7604.44,1398.45,1.0,951.36,196257.0,186710.39,1.0,1.917315331E7,
1867519.75,61575.22,0.0,0.0,0.0,1929094.97,7838.6,7430.2,8033.0,8033.0,7430.23,7430.23,325.62,1.0,931.64,196257.0,182841.12,1.0,1.873916207E7,
1903805.15,92362.82,0.0,0.0,0.0,1996167.97,7902.68,7429.73,8033.0,8033.0,7429.76,7429.76,406.28,1.0,931.59,196257.0,182831.74,1.0,1.921634579E7,
1854325.06,138544.24,0.0,0.0,0.0,1992869.3,7774.66,7157.32,8033.0,8033.0,7157.35,7157.35,41.81,1.0,900.49,196257.0,176726.73,1.0,1.924994587E7,
1829035.24,138544.24,15393.8,0.0,0.0,1982973.28,7774.66,7101.94,8033.0,8033.0,7047.68,7047.68,15.84,1.0,887.96,196257.0,174268.92,1.0,1.913623018E7,
1747667.99,215513.26,15393.8,0.0,0.0,1978575.05,7512.23,7101.94,8033.0,8033.0,6788.98,6788.98,3.01,1.0,858.34,196257.0,168455.44,1.0,1.915911304E7,
1859822.85,230907.06,15393.8,15393.8,0.0,2121517.52,7774.66,7101.94,8033.0,8033.0,6997.89,6997.89,20.05,1.0,882.23,196257.0,173144.4,1.0,2.03980471E7,
1896108.25,153938.04,15393.8,15393.8,0.0,2080833.89,7774.66,7101.94,8033.0,8033.0,6848.12,6848.12,5.27,1.0,865.14,196257.0,169789.4,1.0,2.018058897E7,
1865320.64,107756.63,15393.8,15393.8,0.0,2003864.87,7711.02,7101.94,8033.0,8033.0,6695.37,6695.37,1.29,1.0,847.74,196257.0,166374.27,1.0,1.950711004E7,
1874117.1,123150.43,15393.8,15393.8,0.0,2028055.14,7711.02,7101.94,8033.0,8033.0,6695.37,6695.37,1.29,1.0,847.74,196257.0,166374.27,1.0,1.95790703E7,
1790550.73,92362.82,15393.8,15393.8,0.0,1913701.17,7521.33,7101.94,8033.0,8033.0,6491.75,6491.75,0.19,1.0,824.4,196257.0,161795.19,1.0,1.860446629E7,
1789451.18,46181.41,15393.8,15393.8,0.0,1866420.2,7330.13,7101.94,8033.0,8033.0,6184.18,6184.18,0.01,1.0,788.98,196257.0,154842.36,1.0,1.805752186E7,
1767460.03,15393.8,15393.8,15393.8,0.0,1813641.44,7143.48,7101.94,8033.0,8033.0,5981.2,5981.2,0.0,1.0,765.47,196257.0,150229.59,1.0,1.75393267E7,
1721278.62,15393.8,15393.8,15393.8,0.0,1767460.03,7018.5,7101.94,8033.0,8033.0,5879.23,5879.23,0.0,1.0,753.67,196257.0,147913.18,1.0,1.713523934E7,
1671798.53,15393.8,15393.8,15393.8,0.0,1717979.94,6891.58,7101.94,8033.0,8033.0,5775.72,5775.72,0.0,1.0,741.64,196257.0,145551.18,1.0,1.66004485E7,
1870818.43,384845.1,15393.8,15393.8,0.0,2286451.13,7525.17,7101.94,8033.0,8033.0,6174.9,6174.9,0.19,1.0,787.18,196257.0,154488.89,0.0,2.157340358E7,
15393.8,1323238.83,61575.22,0.0,0.0,1400207.85,257.97,67.52,0.0,0.0,661.2,661.2,123.25,0.0,76.57,0.0,15028.12,1.0,1.40228915E7,
1882913.56,446420.32,15393.8,15393.8,0.0,2360121.48,7525.07,7101.94,8033.0,8033.0,6136.15,6136.15,0.15,1.0,782.8,196257.0,153630.41,0.0,2.27766506E7,
15393.8,1369420.24,76969.02,0.0,0.0,1461783.06,257.97,50.64,0.0,0.0,747.99,747.99,101.4,0.0,86.8,0.0,17034.14,1.0,1.456167464E7,
1867519.75,461814.12,46181.41,15393.8,0.0,2390909.09,7524.57,5335.37,8033.0,8033.0,5911.24,5911.24,72.49,1.0,756.61,196257.0,148490.77,0.0,2.304604217E7,
15393.8,1307845.02,61575.22,0.0,0.0,1384814.04,257.97,40.51,0.0,0.0,739.77,739.77,45.66,0.0,85.96,0.0,16870.52,1.0,1.388819572E7,
1833433.47,431026.51,15393.8,15393.8,0.0,2295247.59,7339.3,3556.91,8033.0,8033.0,5758.08,5758.08,14.86,1.0,738.88,196257.0,145011.3,0.0,2.23057508E7,
15393.8,1246269.81,15393.8,0.0,0.0,1277057.41,257.97,20.26,0.0,0.0,706.49,706.49,1.53,0.0,82.59,0.0,16209.37,1.0,1.294532522E7,
1787252.06,354057.49,15393.8,15393.8,0.0,2172097.16,7276.62,3556.91,8033.0,8033.0,5601.49,5601.49,2.76,1.0,720.82,196257.0,141465.41,0.0,2.122818452E7,
61575.22,1354026.43,30787.61,0.0,0.0,1446389.26,443.64,20.26,0.0,0.0,834.78,834.78,70.02,0.0,97.84,0.0,19201.45,1.0,1.442697886E7,
1761962.24,369451.3,15393.8,15393.8,0.0,2162201.14,7277.86,3556.91,8033.0,8033.0,5563.61,5563.61,2.16,1.0,716.34,196257.0,140587.7,0.0,2.093055569E7,
30787.61,1323238.83,30787.61,0.0,0.0,1384814.04,295.76,20.26,0.0,0.0,816.63,816.63,14.39,0.0,95.98,0.0,18836.09,1.0,1.388819572E7,
1827935.69,307876.08,15393.8,15393.8,0.0,2166599.37,7425.17,3556.91,8033.0,8033.0,5535.35,5535.35,9.36,1.0,712.94,196257.0,139919.78,0.0,2.10404242E7,
15393.8,1292451.22,15393.8,0.0,0.0,1323238.83,295.76,20.26,0.0,0.0,807.24,807.24,6.11,0.0,95.02,0.0,18647.93,1.0,1.334941258E7,
1842229.93,277088.47,15393.8,15393.8,0.0,2150106.01,7363.34,3556.91,8033.0,8033.0,5457.87,5457.87,3.94,1.0,703.91,196257.0,138146.53,0.0,2.082828856E7,
15393.8,1523358.28,138544.24,0.0,0.0,1677296.32,419.59,18.23,0.0,0.0,1036.11,1036.11,121.76,0.0,121.21,0.0,23787.63,1.0,1.644741563E7,
15393.8,169331.84,1738871.53,30787.61,15393.8,1969778.59,250.07,4183.94,0.0,0.0,1129.3,1129.3,63.84,0.0,130.05,0.0,25522.6,1.0,1.900663555E7,
1810342.77,230907.06,15393.8,15393.8,0.0,2072037.43,7182.4,3556.91,8033.0,8033.0,5341.54,5341.54,1.04,1.0,690.33,196257.0,135482.11,0.0,2.012736634E7,
15393.8,123150.43,1692690.12,30787.61,15393.8,1877415.77,250.07,4109.86,0.0,0.0,1102.82,1102.82,14.22,0.0,127.28,0.0,24979.98,1.0,1.819846084E7,
1781754.27,184725.65,15393.8,15393.8,0.0,1997267.53,7003.95,3556.91,8033.0,8033.0,5145.93,5145.93,0.1,1.0,667.44,196257.0,130988.98,0.0,1.939247049E7,
15393.8,61575.22,1769659.14,92362.82,15393.8,1954384.79,250.07,4389.38,0.0,0.0,1162.6,1162.6,150.32,0.0,134.0,0.0,26298.5,1.0,1.887193976E7,
1682794.11,169331.84,15393.8,15393.8,0.0,1882913.56,6819.55,3556.91,8033.0,8033.0,4984.85,4984.85,0.01,1.0,648.55,196257.0,127282.17,0.0,1.830199678E7,
15393.8,46181.41,1723477.73,61575.22,15393.8,1862021.97,250.07,4312.35,0.0,0.0,1134.69,1134.69,31.92,0.0,131.09,0.0,25727.24,1.0,1.806376505E7,
1764161.35,107756.63,15393.8,15393.8,0.0,1902705.59,6819.55,3556.91,8033.0,8033.0,4907.33,4907.33,0.01,1.0,639.4,196257.0,125487.31,0.0,1.843035187E7,
15393.8,61575.22,1754265.34,153938.04,61575.22,2046747.61,250.07,4352.84,0.0,0.0,1251.04,1251.04,56.87,0.0,144.29,0.0,28317.62,1.0,1.968011448E7,
1843329.49,261694.67,15393.8,15393.8,0.0,2135811.77,7115.23,3556.91,8033.0,8033.0,5038.6,5038.6,28.84,1.0,654.68,196257.0,128485.02,0.0,2.070440242E7,
15393.8,46181.41,1677296.32,123150.43,46181.41,1908203.38,250.07,4236.89,0.0,0.0,1203.34,1203.34,4.91,0.0,139.29,0.0,27336.31,1.0,1.846785241E7,
1821338.34,200119.45,15393.8,15393.8,0.0,2052245.4,7056.09,3556.91,8033.0,8033.0,4964.94,4964.94,11.56,1.0,646.03,196257.0,126787.23,0.0,1.991620097E7,
15393.8,15393.8,1661902.51,153938.04,30787.61,1877415.77,250.07,4236.89,0.0,0.0,1193.63,1193.63,2.93,0.0,138.27,0.0,27136.93,1.0,1.819846084E7,
1838931.26,307876.08,30787.61,15393.8,0.0,2192988.75,7326.92,3556.91,8033.0,8033.0,4908.0,4908.0,7.93,1.0,639.12,196257.0,125431.2,0.0,2.110029355E7,
15393.8,15393.8,1631114.91,138544.24,15393.8,1815840.55,250.07,4158.4,0.0,0.0,1154.48,1154.48,0.34,0.0,134.18,0.0,26333.52,1.0,1.76596777E7,
1859822.85,292482.28,15393.8,15393.8,0.0,2183092.74,7266.77,1778.46,8033.0,8033.0,4806.09,4806.09,2.19,1.0,627.11,196257.0,123074.96,0.0,2.115259801E7,
15393.8,15393.8,1600327.3,92362.82,15393.8,1738871.53,250.07,4079.9,0.0,0.0,1115.33,1115.33,0.04,0.0,130.09,0.0,25530.1,1.0,1.698619877E7,
1798247.64,246300.86,15393.8,15393.8,0.0,2075336.11,7026.18,1778.46,8033.0,8033.0,4635.44,4635.44,0.23,1.0,607.02,196257.0,119131.26,0.0,2.020972751E7,
15393.8,30787.61,1646508.71,76969.02,15393.8,1785052.95,250.07,4247.6,0.0,0.0,1155.36,1155.36,60.62,0.0,134.73,0.0,26441.33,1.0,1.739028613E7,
1844429.05,246300.86,15393.8,15393.8,0.0,2121517.52,7592.69,1778.46,8033.0,8033.0,4703.44,4703.44,5.9,1.0,614.65,196257.0,120628.51,0.0,2.061381487E7,
46181.41,61575.22,1677296.32,30787.61,15393.8,1831234.36,373.42,4207.89,0.0,0.0,1274.52,1274.52,15.13,0.0,149.01,0.0,29244.12,1.0,1.779437348E7,
