#cisterns#,#vesicles#,entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,
5.0,0.0,1.60944,0.0,0.2,0.2,0.2,0.2,0.2,
5.0,24.0,1.60896,0.01855,0.19769,0.19604,0.19769,0.21252,0.19604,
5.0,23.0,1.60844,0.07296,0.20392,0.19175,0.21491,0.20002,0.18939,
5.0,7.0,1.60804,0.12498,0.19854,0.18849,0.22045,0.19489,0.19763,
5.0,7.0,1.60883,0.12974,0.19481,0.19114,0.21203,0.20078,0.20124,
5.0,26.0,1.60847,0.107,0.21462,0.18737,0.20064,0.19566,0.20171,
5.0,12.0,1.60681,0.1706,0.20398,0.20177,0.18549,0.22455,0.18421,
5.0,36.0,1.60561,0.14574,0.2183,0.19521,0.1767,0.22215,0.18764,
5.0,6.0,1.60544,0.25988,0.20689,0.17893,0.23007,0.1997,0.18441,
5.0,20.0,1.60262,0.2418,0.21191,0.17102,0.23847,0.1957,0.18289,
5.0,20.0,1.60313,0.27919,0.21282,0.16717,0.22843,0.21022,0.18136,
5.0,27.0,1.60237,0.26598,0.22933,0.15968,0.21626,0.19796,0.19677,
5.0,1.0,1.60604,0.28437,0.21482,0.18429,0.19859,0.22243,0.17986,
5.0,8.0,1.60614,0.25623,0.20957,0.17541,0.20922,0.21888,0.18691,
5.0,15.0,1.60774,0.2079,0.21372,0.18324,0.2092,0.20433,0.1895,
5.0,31.0,1.60651,0.19265,0.20943,0.17514,0.2122,0.21389,0.18934,
5.0,49.0,1.60608,0.16469,0.20912,0.16895,0.20517,0.21552,0.20123,
5.0,48.0,1.60025,0.21651,0.20171,0.16087,0.1934,0.24647,0.19755,
5.0,67.0,1.60024,0.195,0.20385,0.1615,0.19345,0.24672,0.19447,
5.0,42.0,1.59649,0.24067,0.19112,0.14549,0.2294,0.23283,0.20115,
5.0,20.0,1.5976,0.29587,0.24326,0.14897,0.20957,0.20465,0.19354,
5.0,24.0,1.59777,0.28914,0.25237,0.15631,0.2024,0.19746,0.19146,
